Date,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,HCLTECH.NS,ASIANPAINT.NS,AXISBANK.NS,DMART.NS,MARUTI.NS,ULTRACEMCO.NS,TITAN.NS,SUNPHARMA.NS,M&M.NS,NESTLEIND.NS,WIPRO.NS,ADANIGREEN.NS,TATASTEEL.NS,JSWSTEEL.NS,POWERGRID.NS,ONGC.NS,NTPC.NS,COALINDIA.NS,BPCL.NS,IOC.NS,TECHM.NS,INDUSINDBK.NS,DIVISLAB.NS,GRASIM.NS,CIPLA.NS,BAJAJFINSV.NS,TATAMOTORS.NS,HEROMOTOCO.NS,DRREDDY.NS,SHREECEM.NS,BRITANNIA.NS,UPL.NS,EICHERMOT.NS,SBILIFE.NS,ADANIPORTS.NS,BAJAJ-AUTO.NS,HINDALCO.NS
2024-08-20 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21 00:00:00+05:30,0.0018216502859038641,-0.007266228673472708,-0.0039001024005869134,0.00026706549142208047,0.006234429847713496,0.0040428248326700444,0.014594391825351494,0.013231768775132657,0.0065357007236477305,-0.005790564513818874,0.001956190229639443,0.009867802861608155,-0.0056321327997628234,0.015580722614406906,0.005479472957245379,0.003986848169262647,0.000491201347861514,-0.013110461256849337,0.024605025296507765,-0.0009624090329614088,-0.0006856516619982989,0.01320230295811009,0.0032401621895921107,-0.001948456846913471,-0.013057848388712268,0.009431350540967998,-0.011306919540427729,-0.007270520047571338,0.006646183894230884,0.014487298846335372,0.005151741104724161,0.009638295902506089,-0.014705852591738067,0.0019546449550664757,0.03761259032993958,0.01826151908675655,0.02031544965670573,0.011765792318324975,-0.0015641486834118146,0.007684443162074617,0.01394044754317858,0.0031337757369624963,0.012409430676136424,0.00379751529840755,0.006204844045973434,0.02231302201119023,0.007336404685707176,0.0073928446929441005,0.018873459222911615
2024-08-22 00:00:00+05:30,-0.0003670234108155146,0.0033829498307398342,0.013831553251635764,0.004031638289625938,-0.010875535537734793,0.004716097552829979,0.0005732651491263674,-0.0016818482662855905,0.002905952650820387,0.00582429044337851,0.0012248806491692577,0.01564797237905191,-0.0006558208889179129,0.011121526958189465,-0.0037892312241799564,-0.008157761339543934,0.004533151119767265,0.009686721264909437,0.012358162343234502,-0.007933584453749476,-0.013161678506967256,-0.00029391594004113397,-0.013964046597998658,-0.01796079883306667,0.014612962397710927,0.008047107696330213,-0.007871658828246475,-0.010222792245892842,-0.013693620091349112,-0.006294694746813656,-0.0031321357211888667,-0.000575111299480402,0.004113031181579574,-0.0015173234002439084,0.002173194386518862,0.026183884436925764,-0.005518579513698385,0.0029303804207934103,-0.015434943562163017,0.008562453559832317,-0.013224927332866954,0.00823722956619588,-9.427102358838813e-05,0.019092093707815394,0.0040703769769301346,-0.0029712182930562436,-0.0074492525253575526,0.0063134587203106385,-7.291101917850096e-05
2024-08-23 00:00:00+05:30,0.0012348606330829792,-0.0038313000753539272,0.01041056558494402,-0.009652984663774844,-0.008462927067136805,-0.0019214932747735336,0.008163867240582379,0.0024774552180009124,-0.002204339712151726,-0.0060343926376853485,-0.0011492377791936237,0.013724913209636647,-0.008770141710510826,-0.010026421368655392,-0.0034189496704482014,-0.030912362888868672,0.0021138364528721088,0.0028648215593602977,-0.009543863965089328,0.014337517628252527,0.009531842621909314,-0.008545687506125055,-0.012716715965197523,0.007713334755713008,0.000389240682699743,0.008357876017110799,0.006736526946107713,-0.009165798201297704,-0.003470915768686078,0.018908954262351063,0.0059983035330044565,-0.0037976202820474425,-0.00797515940166793,0.004812232648220727,-0.011300124768234276,-0.0023954607732996624,-0.00709421090528628,0.008734744213993118,0.015630187660049755,0.010309609849558532,-0.002087774531000397,-0.012247909220652997,-0.007564059728122463,-0.00941036342447732,-0.007185436133140488,-0.0033142744307895766,-0.0006701065250150906,0.04965100465015215,-0.0006564250821154971
2024-08-26 00:00:00+05:30,0.008416807083777123,0.009168888277930165,0.008142957065330192,0.007545270937294513,0.00863601196534658,-0.0030253025302530157,0.001971091239881595,-0.00019765833995710747,0.012046477866756833,-0.0003679251878964118,0.006309522834361703,0.00451305712833916,0.03490926702853181,0.005293834761217919,0.0037309471576183473,0.011812690471029175,-0.004755208451163728,-0.0004144135316651587,0.016862731420693278,-0.0018583972001267046,0.012359585957321562,-0.0038153971730383596,0.014832114019955878,-0.006312799119300827,0.009727626651662602,0.02385634397560854,0.005947955390334547,0.028065263023919762,0.03209352781370223,-0.0013918530833827436,-0.0029813125330888646,0.0019060926572378456,0.02611986947091327,-0.0029167467399127123,0.014477044009916229,-0.004347729151582991,0.012320918193860164,0.028233383784694643,0.006681103844525804,-0.0076417209400382324,-0.0016104961266086848,0.008111310029852659,0.0007423705974376471,0.006536517204477121,-0.004675262221510712,0.00388417313039624,-0.005867363852683938,0.0025080223212672337,0.0390453962242836
2024-08-27 00:00:00+05:30,-0.008032543045199958,-0.001341474579942492,0.010755729195277786,0.012765477632501465,-0.0011772019098108544,-0.005048289331896716,-0.01922974740014005,-0.010085042476581485,0.016694596353127977,0.0010429257515793822,0.012576806858866307,0.00607839243835917,-0.00456539928980626,-0.0016239602458842928,0.009356533123996424,-0.00017141139512633075,0.020671735080199705,-0.0032415698252850067,-0.021748099893613038,0.009563075804188914,-0.004403726468108382,0.00075406414118806,-0.0054807222806489975,-0.001111745226743177,-0.0064226077045616,-0.020238713025428123,-0.008573522236465236,0.0030501753283000976,-0.012534680319454372,-0.01245112706905338,-0.005980367763112282,-0.0012106924117304407,-0.009480869796456681,-0.0009390024038461453,-0.004821111393047417,-0.013410872616693825,0.0025722875760532116,0.019452051819435656,-0.013868568359094113,0.0023952850877193566,0.002830122733823659,-0.0037440102031806033,-0.005632339337916292,0.009524633966113916,-0.0013025306452759677,0.023771719511134215,-0.002833006039497543,0.006618689196813188,-0.011729965403264209
2024-08-28 00:00:00+05:30,-0.001432838424281213,-0.0003969008786826045,-0.0020385697800544555,0.020525235777645534,0.0019790094920144607,-0.0066819679601554105,-0.0009215384645249181,-0.006592125989436037,-0.003686472715519362,-0.007966662342813291,0.005303325051845498,0.022065326275447328,0.004586337752926273,-0.012854510706694633,-0.008719618055555545,0.0012705918498174817,-0.011154797291140772,-0.0058006882046479635,-0.006687785990848294,0.012546077381007104,0.0061852527581489625,-0.011481469683116363,0.03374253185358733,-0.013620983981927348,-0.006464124238700353,0.005561440677966045,-0.002683744983164149,-0.0031930007330343013,-0.0014646798790559634,-0.009503290545937237,-0.0025784097635269676,0.0028860028860029363,0.0016927243883579912,0.0235324247955242,0.026149963347781746,0.005796565447033553,0.012609055866883656,-0.003199534613147148,-0.002506336664539366,-0.008428914878050642,0.005220432195460978,-0.004876436888821889,-0.010573653192307297,-0.008405565334000387,0.01602020978989427,0.002582995799843779,-0.005783425372211881,0.014773976955519519,0.0022032520155916835
2024-08-29 00:00:00+05:30,0.015100446681354462,0.0008857572926592727,-0.0015932926508752665,-0.002965293214581388,0.0012760622383751752,-0.0078434926841634,0.007560512093410354,0.01568473457070363,-0.0015180324425332348,0.006300933323580615,0.02370287024456519,0.006136183363596892,0.018843249489163938,-0.0030874747540393654,0.003800395770744869,0.008852172002533854,0.007792822552093792,-0.001139299757006773,0.0016158614236356783,-0.006981827736576962,-0.014438850015636162,0.0048345231005515465,0.007669354299165487,-0.016898582335413415,-0.004749484333333331,-0.010060561277817959,-0.0034385539604961934,0.005491209205546799,0.002078000559544657,0.0022798751072332646,0.02384035173361143,0.017784151584981922,0.012289919378158931,0.0012007424841073977,-0.003607925322584693,-0.014490654544640491,0.00021635005982822975,0.024598788686351014,0.043832277181787394,0.011880125544379672,-0.009736674273919443,0.00523041262873547,0.022451682343701984,-0.0004324885481867824,-0.006256546024542731,0.0,0.004252279080398047,0.01417877020433056,-0.006453425816248415
2024-08-30 00:00:00+05:30,-0.0074297210351237375,-0.0010070027554194283,0.005974242255468498,0.005353389565591282,0.009297884908128218,0.0019974954722885574,-0.0026029979355534083,-0.00633540322384285,0.005755460628732223,0.0013504918182167813,0.019338732143659554,0.01478384574565994,0.0007991691261086675,0.003514274059625455,-0.00012763689888239949,-0.01624133775497849,-0.0040790606468862345,0.00711997777802531,0.009042780372867876,0.012477808943672564,0.01733384210717359,-0.0015172580918888512,-0.000556873558884341,0.004645697202513954,-0.0013728620787822887,0.001489798191678604,0.012301248885920657,0.00348905908734487,0.015369647241658457,-0.004928396637472465,0.003366479585799942,0.0007351554258352433,-0.006586320907358112,0.005502874243761724,0.016229284660708165,0.00846354790286008,0.02245835747387348,0.015606769021751399,-0.009182943524211673,0.015052544858824124,0.014456503859282765,0.02661621551696247,0.004089943762331183,0.03556591939619769,0.009072621196982933,0.003579811157479851,0.003963263705442754,0.007744389340863522,0.001213384134100659
2024-09-02 00:00:00+05:30,0.004388507079572834,-0.006078607791425217,0.0006101529692423835,0.010701265293331153,-0.0071809377573428534,-0.0003088773658148636,0.003977699362176068,0.01623828251762305,-0.005816961185419078,0.008030957606906863,0.03331873719263245,-0.011138776437684128,0.030457735299622035,0.007723519881868146,0.011529503363645999,0.014693177906216937,0.001967297478432606,0.010883125469945742,0.006283086854117714,-0.003129071537229522,-0.010123299113264927,0.003658863278516389,-0.011051285173151015,0.05850987423733045,0.0007856139060753442,-0.0006906422226837794,-0.005483124294552333,-0.013756576849489832,-0.01489671317920871,-0.007810337224026465,0.002236874945336753,0.009945157341333832,0.006202275841162619,0.016698859026925028,-0.011199632066042575,-0.0029827698971187644,-0.004985195406544851,0.03224811330326416,-0.016826338761573134,0.02250986090240481,-0.022641483228884596,-0.00214658263676315,0.01142562697472349,0.0019219929154945525,-0.009787280453079306,0.020780387049239346,0.008502581401143683,0.021535025675276653,-0.024880518684407993
